,Time,Lifetime distribution,Fit distributions,Terminus,Run
77,2.433224709408485,0.007975506030214184,0.002677072866671567,all protein,run3
78,2.4619348256450913,0.00733996572429326,0.0025992739604588757,all protein,run3
79,2.4906449418816967,0.006676730113612489,0.0025245990863990648,all protein,run3
80,2.519355058118303,0.006046612599443187,0.0024528889243571306,all protein,run3
81,2.5480651743549085,0.005510763486488182,0.0023839939681063434,all protein,run3
82,2.576775290591515,0.005116360686148977,0.0023177738190745486,all protein,run3
83,2.6054854068281212,0.004884999584646088,0.002254096538076501,all protein,run3
84,2.6341955230647267,0.004807081263519689,0.0021928380496961104,all protein,run3
85,2.662905639301333,0.004843801697920584,0.0021338815945254174,all protein,run3
86,2.6916157555379385,0.004936284408816967,0.0020771172249495345,all protein,run3
87,2.720325871774545,0.005019541696514701,0.002022441340596116,all protein,run3
88,2.7490359880111503,0.00503771521153944,0.0019697562599505837,all protein,run3
89,2.7777461042477567,0.004956704582842866,0.0019189698249795794,all protein,run3
90,2.806456220484363,0.004770964864409536,0.0018699950359101244,all protein,run3
91,2.8351663367209685,0.004502847159098484,0.0018227497135845814,all protein,run3
92,2.863876452957575,0.004194980410095128,0.0017771561870557496,all protein,run3
93,2.8925865691941803,0.0038981867824044872,0.0017331410043053032,all protein,run3
94,2.9212966854307867,0.003658582848786655,0.0016906346641651867,all protein,run3
95,2.950006801667393,0.003507419037692873,0.0016495713676981368,all protein,run3
96,2.9787169179039985,0.0034559379723605402,0.0016098887874521734,all protein,run3
97,3.007427034140605,0.003495663089062799,0.0015715278531468586,all protein,run3
98,3.0361371503772103,0.0036028446470961683,0.001534432552477945,all protein,run3
99,3.0648472666138167,0.0037449093893047623,0.0014985497458432039,all protein,run3
100,3.093557382850423,0.0038868742815340598,0.0014638289938972485,all protein,run3
101,3.1222674990870285,0.003996520353789366,0.0014302223969379886,all protein,run3
102,3.150977615323635,0.004048118531961017,0.0013976844452132432,all protein,run3
103,3.1796877315602403,0.004025103835548181,0.0013661718793138006,all protein,run3
104,3.2083978477968467,0.003922047565496876,0.0013356435598896792,all protein,run3
105,3.237107964033452,0.003745744259005056,0.0013060603459903555,all protein,run3
106,3.2658180802700585,0.0035147000754859607,0.0012773849813877628,all protein,run3
107,3.294528196506665,0.0032562884450762506,0.0012495819882937344,all protein,run3
108,3.3232383127432703,0.0030015101679509416,0.0012226175679315421,all protein,run3
109,3.3519484289798767,0.0027783665607423506,0.0011964595074649698,all protein,run3
110,3.380658545216482,0.0026057177000438055,0.0011710770928282128,all protein,run3
111,3.4093686614530885,0.0024896072434112807,0.0011464410270362261,all protein,run3
112,3.438078777689695,0.00242325152154597,0.0011225233535883733,all protein,run3
113,3.4667888939263003,0.002390565522221772,0.0010992973846084943,all protein,run3
114,3.4954990101629067,0.002371857807515733,0.0010767376333922533,all protein,run3
115,3.524209126399512,0.0023497114246120313,0.001054819751057977,all protein,run3
116,3.5529192426361185,0.002313265275161429,0.0010335204670203816,all protein,run3
117,3.581629358872725,0.002259912734948617,0.0010128175330278964,all protein,run3
118,3.6103394751093303,0.0021944108486220875,0.0009926896705237474,all protein,run3
119,3.6390495913459366,0.0021261390224100794,0.0009731165211088891,all protein,run3
120,3.667759707582543,0.0020655618739691007,0.0009540785999012935,all protein,run3
121,3.6964698238191485,0.002020878658121014,0.0009355572516011874,all protein,run3
122,3.725179940055755,0.0019955667905500645,0.000917534609085724,all protein,run3
123,3.7538900562923603,0.001987229208462637,0.0008999935543693442,all protein,run3
124,3.7826001725289666,0.001987904876200301,0.0008829176817778183,all protein,run3
125,3.811310288765573,0.0019857602549042115,0.000866291263194825,all protein,run3
126,3.8400204050021784,0.001967792955268512,0.0008500992152498723,all protein,run3
127,3.868730521238785,0.0019228814160856854,0.0008343270683255969,all protein,run3
128,3.8974406374753903,0.0018443489808974223,0.0008189609372709792,all protein,run3
129,3.9261507537119966,0.0017313317670776976,0.0008039874937148419,all protein,run3
130,3.954860869948602,0.0015886695547539544,0.0007893939398812818,all protein,run3
131,3.9835709861852084,0.0014256001550849344,0.0007751679838153647,all protein,run3
132,4.012281102421815,0.0012539384995868472,0.0007612978159336468,all protein,run3
133,4.04099121865842,0.0010864462797667788,0.0007477720868198049,all protein,run3
134,4.069701334895027,0.0009357598354237662,0.0007345798861909939,all protein,run3
135,4.098411451131632,0.0008137796518861927,0.0007217107229654851,all protein,run3
136,4.127121567368238,0.0007311304494852846,0.0007091545063666897,all protein,run3
137,4.155831683604845,0.0006963358005438359,0.0006969015280029443,all protein,run3
138,4.18454179984145,0.0007146509133599165,0.0006849424448663435,all protein,run3
139,4.213251916078057,0.0007868443136089526,0.0006732682631975807,all protein,run3
140,4.241962032314662,0.0009084021294203749,0.0006618703231671536,all protein,run3
141,4.270672148551268,0.001069566884484037,0.0006507402843264383,all protein,run3
