,protid,P,S,C
357,x0357_ ,365,490,135
358,x0358_ ,321,475,150
359,x0359_ ,303,457,143
360,x0360_ ,341,470,179
361,x0361_ ,283,349,148
362,x0362_ ,350,341,170
363,x0363_ ,312,272,157
364,x0364_ ,236,283,111
365,x0365_ ,240,278,112
366,x0366_ ,288,374,158
367,x0367_ ,327,338,155
368,x0368_ ,359,415,172
369,x0369_ ,337,408,158
370,x0370_ ,375,438,177
371,x0371_ ,364,443,183
372,x0372_ ,286,306,111
373,x0373_ ,388,241,191
374,x0374_ ,366,359,178
375,x0375_ ,362,418,166
376,x0376_ ,388,438,164
377,x0377_ ,389,216,175
378,x0378_ ,402,376,212
379,x0379_ ,460,361,260
380,x0380_ ,471,362,202
381,x0381_ ,427,410,198
382,x0382_ ,594,480,252
383,x0383_ ,441,313,192
384,x0384_ ,508,395,225
385,x0385_ ,398,277,186
386,x0386_ ,429,286,231
387,x0387_ ,539,412,274
388,x0388_ ,498,312,271
389,x0389_ ,521,478,276
390,x0390_ ,343,306,212
391,x0391_ ,453,340,197
392,x0392_ ,373,258,149
393,x0393_ ,385,411,194
394,x0394_ ,488,415,225
395,x0395_ ,446,342,202
396,x0396_ ,493,538,244
397,x0397_ ,332,293,155
398,x0398_ ,329,317,174
399,x0399_ ,506,508,211
400,x0400_ ,516,402,210
401,x0401_ ,425,569,182
402,x0402_ ,375,447,168
403,x0403_ ,362,346,153
404,x0404_ ,490,530,205
405,x0405_ ,314,514,162
406,x0406_ ,383,492,160
407,x0407_ ,432,642,201
408,x0408_ ,295,425,141
409,x0409_ ,391,481,163
410,x0410_ ,514,553,208
411,x0411_ ,367,533,181
412,x0412_ ,407,478,196
413,x0413_ ,424,559,145
414,x0414_ ,460,643,223
415,x0415_ ,482,562,231
416,x0416_ ,572,613,246
417,x0417_ ,563,674,248
418,x0418_ ,507,492,226
419,x0419_ ,662,544,279
420,x0420_ ,664,563,313
421,x0421_ ,552,544,230
422,x0422_ ,666,547,327
423,x0423_ ,535,403,238
424,x0424_ ,620,488,323
425,x0425_ ,495,419,262
426,x0426_ ,596,521,261
427,x0427_ ,468,418,242
428,x0428_ ,634,584,267
429,x0429_ ,330,347,184
430,x0430_ ,350,527,204
431,x0431_ ,416,555,254
432,x0432_ ,292,598,191
433,x0433_ ,456,559,260
434,x0434_ ,421,423,237
435,x0435_ ,367,493,221
436,x0436_ ,380,570,226
437,x0437_ ,386,512,230
438,x0438_ ,421,614,240
439,x0439_ ,383,480,218
440,x0440_ ,470,584,272
441,x0441_ ,344,444,202
442,x0442_ ,485,574,267
443,x0443_ ,335,413,198
444,x0444_ ,473,633,272
445,x0445_ ,310,492,188
446,x0446_ ,224,327,152
447,x0447_ ,362,559,207
448,x0448_ ,341,449,200
449,x0449_ ,446,532,247
450,x0450_ ,353,499,183
451,x0451_ ,286,449,168
452,x0452_ ,520,553,253
453,x0453_ ,482,489,254
454,x0454_ ,484,544,247
455,x0455_ ,329,474,187
456,x0456_ ,273,470,160
457,x0457_ ,524,498,253
458,x0458_ ,489,483,204
459,x0459_ ,425,474,182
460,x0460_ ,364,363,176
461,x0461_ ,488,427,213
462,x0462_ ,441,498,189
463,x0463_ ,442,389,204
464,x0464_ ,464,430,187
465,x0465_ ,622,472,284
466,x0466_ ,431,484,213
467,x0467_ ,262,294,147
468,x0468_ ,521,480,224
469,x0469_ ,581,612,292
470,x0470_ ,470,605,200
471,x0471_ ,525,488,212
472,x0472_ ,642,663,235
473,x0473_ ,613,580,238
474,x0474_ ,649,596,240
475,x0475_ ,595,533,198
476,x0476_ ,279,339,123
477,x0477_ ,668,550,267
478,x0478_ ,479,446,203
479,x0479_ ,589,494,243
480,x0480_ ,354,344,122
481,x0481_ ,493,528,204
482,x0482_ ,695,550,295
483,x0483_ ,395,334,132
484,x0484_ ,686,605,249
