,protid,P,S,C
327,x0327_ ,3679,1125,1982
328,x0328_ ,3309,769,1382
329,x0329_ ,3838,1157,1446
330,x0330_ ,4347,1260,1653
331,x0331_ ,4226,1215,1462
332,x0332_ ,4302,982,1619
333,x0333_ ,4150,1309,1211
334,x0334_ ,3273,967,1220
335,x0335_ ,3846,1075,1749
336,x0336_ ,4126,1026,1751
337,x0337_ ,4287,1308,1786
338,x0338_ ,3842,1024,1689
339,x0339_ ,4066,1269,1925
340,x0340_ ,4382,1379,2240
341,x0341_ ,4264,1568,2169
342,x0342_ ,3628,811,1777
343,x0343_ ,3546,826,1733
344,x0344_ ,3010,795,1245
345,x0345_ ,3705,744,1437
346,x0346_ ,4577,1299,1999
347,x0347_ ,4493,1244,1766
348,x0348_ ,3870,1088,1597
349,x0349_ ,4247,1350,1424
350,x0350_ ,4123,1306,1592
351,x0351_ ,3490,1580,1600
352,x0352_ ,3476,1470,1609
353,x0353_ ,5076,2043,1792
354,x0354_ ,4219,1986,1923
355,x0355_ ,4950,1818,1488
356,x0356_ ,3649,1691,1800
357,x0357_ ,3497,1531,1875
358,x0358_ ,3764,1601,1421
359,x0359_ ,3719,1836,1466
360,x0360_ ,3160,1270,1675
361,x0361_ ,2487,830,1243
362,x0362_ ,2617,1251,1697
363,x0363_ ,3886,1752,1743
364,x0364_ ,3246,1472,1723
365,x0365_ ,3550,1411,1480
366,x0366_ ,4156,1619,2226
367,x0367_ ,3922,1652,1929
368,x0368_ ,2995,1294,1597
369,x0369_ ,3214,1344,1997
370,x0370_ ,2730,1096,1325
371,x0371_ ,4079,1508,1794
372,x0372_ ,3059,1235,1701
373,x0373_ ,3246,1264,1706
374,x0374_ ,3271,1323,1511
375,x0375_ ,2680,882,903
376,x0376_ ,2998,1331,1449
377,x0377_ ,3150,1434,1302
378,x0378_ ,2844,932,1274
379,x0379_ ,3079,1223,1476
380,x0380_ ,2873,1260,1432
381,x0381_ ,4210,1601,1449
382,x0382_ ,3236,1135,1734
383,x0383_ ,3023,1016,1526
384,x0384_ ,3143,1009,1204
385,x0385_ ,3747,1647,1746
386,x0386_ ,3156,1331,1399
387,x0387_ ,3777,1371,2112
388,x0388_ ,3133,1068,1577
389,x0389_ ,3968,1387,1905
390,x0390_ ,3261,1307,1537
391,x0391_ ,4123,1581,2171
392,x0392_ ,4164,1416,2046
393,x0393_ ,3999,1675,1829
394,x0394_ ,3379,1478,1813
395,x0395_ ,3152,1394,1670
396,x0396_ ,3772,1661,1827
397,x0397_ ,3690,1488,1843
398,x0398_ ,3272,1270,1786
399,x0399_ ,3166,1789,1600
400,x0400_ ,3271,1346,1488
401,x0401_ ,4083,1503,1795
402,x0402_ ,3351,1134,1843
403,x0403_ ,3589,1068,2013
404,x0404_ ,2524,831,1205
405,x0405_ ,3623,1276,1887
406,x0406_ ,3166,949,1880
407,x0407_ ,3469,1180,1567
408,x0408_ ,3612,1420,1638
409,x0409_ ,3657,1511,1618
410,x0410_ ,3039,1060,1466
411,x0411_ ,3283,1000,1603
412,x0412_ ,3018,889,1346
413,x0413_ ,2812,770,1468
414,x0414_ ,3507,1430,1849
415,x0415_ ,3370,895,1513
416,x0416_ ,3625,1121,1695
417,x0417_ ,3074,1117,1480
418,x0418_ ,2800,992,1359
419,x0419_ ,3033,1266,1372
420,x0420_ ,3073,1096,1609
421,x0421_ ,2689,805,1259
422,x0422_ ,2945,1062,1771
423,x0423_ ,2991,1338,1887
